,Title,Rating,Genres
tt8267604,Capernaum,8.4,['Drama']
tt0086190,Star Wars: Episode VI - Return of the Jedi,8.3,"['Action', 'Adventure', 'Fantasy']"
tt0062622,2001: A Space Odyssey,8.3,"['Adventure', 'Sci-Fi']"
tt0338013,Eternal Sunshine of the Spotless Mind,8.3,"['Drama', 'Romance', 'Sci-Fi']"
tt0105236,Reservoir Dogs,8.3,"['Crime', 'Thriller']"
tt0091251,Come and See,8.4,"['Drama', 'Thriller', 'War']"
tt2106476,The Hunt,8.3,['Drama']
tt0033467,Citizen Kane,8.3,"['Drama', 'Mystery']"
tt0022100,M,8.3,"['Crime', 'Mystery', 'Thriller']"
tt0056172,Lawrence of Arabia,8.3,"['Adventure', 'Biography', 'Drama']"
tt0053125,North by Northwest,8.3,"['Action', 'Adventure', 'Mystery']"
tt0044741,Ikiru,8.3,['Drama']
tt0052357,Vertigo,8.3,"['Mystery', 'Romance', 'Thriller']"
tt0053604,The Apartment,8.3,"['Comedy', 'Drama', 'Romance']"
tt0211915,Amélie,8.3,"['Comedy', 'Romance']"
tt0066921,A Clockwork Orange,8.3,"['Crime', 'Sci-Fi']"
tt0036775,Double Indemnity,8.3,"['Crime', 'Drama', 'Film-Noir']"
tt0093058,Full Metal Jacket,8.3,"['Drama', 'War']"
tt0086250,Scarface,8.3,"['Crime', 'Drama']"
tt8503618,Hamilton,8.4,"['Biography', 'Drama', 'History']"
tt1255953,Incendies,8.3,"['Drama', 'Mystery']"
tt0113277,Heat,8.3,"['Action', 'Crime', 'Drama']"
tt0056592,To Kill a Mockingbird,8.3,"['Crime', 'Drama']"
tt0070735,The Sting,8.3,"['Comedy', 'Crime', 'Drama']"
tt1049413,Up,8.3,"['Animation', 'Adventure', 'Comedy']"
tt1745960,Top Gun: Maverick,8.3,"['Action', 'Drama']"
tt1832382,A Separation,8.3,['Drama']
tt0017136,Metropolis,8.3,"['Drama', 'Sci-Fi']"
tt0075314,Taxi Driver,8.2,"['Crime', 'Drama']"
tt0119488,L.A. Confidential,8.2,"['Crime', 'Drama', 'Mystery']"
tt0095016,Die Hard,8.2,"['Action', 'Thriller']"
tt0208092,Snatch,8.2,"['Comedy', 'Crime']"
tt0097576,Indiana Jones and the Last Crusade,8.2,"['Action', 'Adventure']"
tt0040522,Bicycle Thieves,8.3,['Drama']
tt0986264,Like Stars on Earth,8.3,"['Drama', 'Family']"
tt8579674,1917,8.2,"['Action', 'Drama', 'War']"
tt0363163,Downfall,8.2,"['Biography', 'Drama', 'History']"
tt5074352,Dangal,8.3,"['Action', 'Biography', 'Drama']"
tt0059578,For a Few Dollars More,8.2,['Western']
tt0372784,Batman Begins,8.2,"['Action', 'Crime', 'Drama']"
tt0012349,The Kid,8.3,"['Comedy', 'Drama', 'Family']"
tt0053291,Some Like It Hot,8.2,"['Comedy', 'Music', 'Romance']"
tt10272386,The Father,8.2,"['Drama', 'Mystery']"
tt0042192,All About Eve,8.2,['Drama']
tt0993846,The Wolf of Wall Street,8.2,"['Biography', 'Comedy', 'Crime']"
